IFID,pairID,Relation,ClusterID,CFID,SpaceGroup,CrystForm,PdbID,DomainInterfaceID,SurfaceArea,InterfaceUnit,ChainPfamArch,InAsu,InPdb,InPisa,ASU,PDBBA,PDBBAID,PISABA,PISABAID,UnpCode,#CfgCluster,#EntryCluster,MinSeqIdentity,#CfgRelation,#EntryRelation,#EntryHomo,#EntryHetero,#EntryIntra,ClusterInterface,MediumSurfaceArea,Name,Species,chainA,chainB
IF10400,(FAD_binding_2)(Fer2_3),7585,1,2,P 21 21 21,ABCD(5),1yq4,2,835.2,AB,(FAD_binding_2)_(Succ_DH_flav_C);(Fer2_3)_(Fer4_17),1,1,1,ABCD,ABCD,1,ABCD,1,SDHA_CHICK;SDHB_CHICK,,,,,,,,,,,"FP, FLAVOPROTEIN SUBUNIT OF COMPLEX II;succinate dehydrogenase Ip subunit",Gallus gallus;Gallus gallus,A,B
IF10384,(FAD_binding_2)(Fer2_3),7585,1,2,P 21 21 21,ABCD(4),1zoy,1,863.65,AB,(FAD_binding_2)_(Succ_DH_flav_C);(Fer2_3)_(Fer4_17),1,1,1,ABCD,ABCD,1,ABCD,1,SDHA_PIG;SDHB_PIG,,,,,,,,,,,FLAVOPROTEIN;Iron-sulfur protein,Sus scrofa;Sus scrofa,A,B
IF10385,(FAD_binding_2)(Fer2_3),7585,1,2,P 21 21 21,ABCD(4),1zp0,1,872.7,AB,(FAD_binding_2)_(Succ_DH_flav_C);(Fer2_3)_(Fer4_17),1,1,1,ABCD,ABCD,1,ABCD,1,SDHA_PIG;SDHB_PIG,,,,,,,,,,,FLAVOPROTEIN;Iron-sulfur protein,Sus scrofa;Sus scrofa,A,B
IF10340,(FAD_binding_2)(Fer2_3),7585,1,5,H 3 2,ABCD,2acz,1,864.4,AB,(FAD_binding_2)_(Succ_DH_flav_C);(Fer2_3)_(Fer4_17),1,1,1,ABCD,A3B3C3D3,1,A3B3C3D3,1,SDHA_ECOLI;SDHB_ECOLI,,,,,,,,,,,Succinate dehydrogenase flavoprotein subunit;Succinate dehydrogenase iron-sulfur protein,Escherichia coli;Escherichia coli,A,B
IF10327,(FAD_binding_2)(Fer2_3),7585,1,9,P 21 21 21,A2B2C2D2(5),2b76,1,992.65,AB,(FAD_binding_2)_(Succ_DH_flav_C);(Fer2_3)_(Fer4_8),1,1,1,A2B2C2D2,ABCD,1,ABCD,1,FRDA_ECOLI;FRDB_ECOLI,,,,,,,,,,,Fumarate reductase flavoprotein subunit;Fumarate reductase iron-sulfur protein,Escherichia coli;Escherichia coli,A,B
IF10372,(FAD_binding_2)(Fer2_3),7585,1,15,P 1 21 1,A2B2C2,2bs2,2,1084.05,AB,(FAD_binding_2)_(Succ_DH_flav_C);(Fer2_3)_(Fer4_8),1,1,1,A2B2C2,A2B2C2,1,A2B2C2,1,FRDA_WOLSU;FRDB_WOLSU,,,,,,,,,,,QUINOL-FUMARATE REDUCTASE FLAVOPROTEIN SUBUNIT A;QUINOL-FUMARATE REDUCTASE IRON-SULFUR SUBUNIT B,WOLINELLA SUCCINOGENES;WOLINELLA SUCCINOGENES,A,B
IF10370,(FAD_binding_2)(Fer2_3),7585,1,14,P 1 21 1,A2B2C2(1),2bs3,2,1068.15,AB,(FAD_binding_2)_(Succ_DH_flav_C);(Fer2_3)_(Fer4_8),1,1,1,A2B2C2,A2B2C2,1,A2B2C2,1,FRDA_WOLSU;FRDB_WOLSU,,,,,,,,,,,QUINOL-FUMARATE REDUCTASE FLAVOPROTEIN SUBUNIT A;QUINOL-FUMARATE REDUCTASE IRON-SULFUR SUBUNIT B,WOLINELLA SUCCINOGENES;WOLINELLA SUCCINOGENES,A,B
IF10371,(FAD_binding_2)(Fer2_3),7585,1,14,P 1 21 1,A2B2C2(1),2bs4,1,1075.15,AB,(FAD_binding_2)_(Succ_DH_flav_C);(Fer2_3)_(Fer4_8),1,1,1,A2B2C2,A2B2C2,1,A2B2C2,1,FRDA_WOLSU;FRDB_WOLSU,,,,,,,,,,,QUINOL-FUMARATE REDUCTASE FLAVOPROTEIN SUBUNIT A;QUINOL-FUMARATE REDUCTASE IRON-SULFUR SUBUNIT B,WOLINELLA SUCCINOGENES;WOLINELLA SUCCINOGENES,A,B
IF10368,(FAD_binding_2)(Fer2_3),7585,1,4,P 1 21 1,A2B2C2D2(2),2fbw,2,834.5,AB,(FAD_binding_2)_(Succ_DH_flav_C);(Fer2_3)_(Fer4_17),1,1,1,A2B2C2D2,ABCD,1,ABCD,1,SDHA_CHICK;SDHB_CHICK,,,,,,,,,,,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial;IRON-SULFUR SUBUNIT OF COMPLEX II,IP",Gallus gallus;Gallus gallus,A,B
IF10367,(FAD_binding_2)(Fer2_3),7585,1,4,P 1 21 1,A2B2C2D2(1),2h88,1,841.65,AB,(FAD_binding_2)_(Succ_DH_flav_C);(Fer2_3)_(Fer4_17),1,1,1,A2B2C2D2,ABCD,1,ABCD,1,SDHA_CHICK;SDHB_CHICK,,,,,,,,,,,SUCCINATE DEHYDROGENASE FLAVOPROTEIN SUBUNIT;Succinate dehydrogenase Ip subunit,Gallus gallus;Gallus gallus,A,B
IF10317,(FAD_binding_2)(Fer2_3),7585,1,2,P 21 21 21,ABCD(1),2h89,2,820.4,AB,(FAD_binding_2)_(Succ_DH_flav_C);(Fer2_3)_(Fer4_17),1,1,1,ABCD,ABCD,1,ABCD,1,SDHA_CHICK;SDHB_CHICK,,,,,,,,,,,SUCCINATE DEHYDROGENASE FLAVOPROTEIN SUBUNIT;Succinate dehydrogenase Ip subunit,Gallus gallus;Gallus gallus,A,B
IF10337,(FAD_binding_2)(Fer2_3),7585,1,3,P 21 21 21,A3B3C3D3(3),2wdq,1,797.25,AB,(FAD_binding_2)_(Succ_DH_flav_C);(Fer2_3)_(Fer4_17),1,1,1,A3B3C3D3,ABCD,1,A3B3C3D3,1,SDHA_ECOLI;SDHB_ECOLI,,,,,,,,,,,SUCCINATE DEHYDROGENASE FLAVOPROTEIN SUBUNIT;SUCCINATE DEHYDROGENASE IRON-SULFUR SUBUNIT,ESCHERICHIA COLI;ESCHERICHIA COLI,A,B
IF10334,(FAD_binding_2)(Fer2_3),7585,1,3,P 21 21 21,A3B3C3D3(1),2wdr,1,783.6,AB,(FAD_binding_2)_(Succ_DH_flav_C);(Fer2_3)_(Fer4_17),1,1,1,A3B3C3D3,ABCD,1,A3B3C3D3,1,SDHA_ECOLI;SDHB_ECOLI,,,,,,,,,,,SUCCINATE DEHYDROGENASE FLAVOPROTEIN SUBUNIT;SUCCINATE DEHYDROGENASE IRON-SULFUR SUBUNIT,ESCHERICHIA COLI;ESCHERICHIA COLI,A,B
IF10335,(FAD_binding_2)(Fer2_3),7585,1,3,P 21 21 21,A3B3C3D3(1),2wdv,1,783.75,AB,(FAD_binding_2)_(Succ_DH_flav_C);(Fer2_3)_(Fer4_17),1,1,1,A3B3C3D3,ABCD,1,A3B3C3D3,1,SDHA_ECOLI;SDHB_ECOLI,,,,,,,,,,,SUCCINATE DEHYDROGENASE FLAVOPROTEIN SUBUNIT;SUCCINATE DEHYDROGENASE IRON-SULFUR SUBUNIT,ESCHERICHIA COLI;ESCHERICHIA COLI,A,B
IF10333,(FAD_binding_2)(Fer2_3),7585,1,3,P 21 21 21,A3B3C3D3(2),2wp9,1,794.8,AB,(FAD_binding_2)_(Succ_DH_flav_C);(Fer2_3)_(Fer4_17),1,1,1,A3B3C3D3,ABCD,1,A3B3C3D3,1,SDHA_ECOLI;SDHB_ECOLI,,,,,,,,,,,SUCCINATE DEHYDROGENASE FLAVOPROTEIN SUBUNIT;SUCCINATE DEHYDROGENASE IRON-SULFUR SUBUNIT,ESCHERICHIA COLI;ESCHERICHIA COLI,A,B
IF10369,(FAD_binding_2)(Fer2_3),7585,1,4,P 1 21 1,A2B2C2D2(2),2wqy,3,834.55,AB,(FAD_binding_2)_(Succ_DH_flav_C);(Fer2_3)_(Fer4_17),1,1,1,A2B2C2D2,ABCD,1,ABCD,1,SDHA_CHICK;SDHB_CHICK,,,,,,,,,,,SUCCINATE DEHYDROGENASE FLAVOPROTEIN SUBUNIT;SUCCINATE DEHYDROGENASE IP SUBUNIT,GALLUS GALLUS;GALLUS GALLUS,A,B
IF10336,(FAD_binding_2)(Fer2_3),7585,1,3,P 21 21 21,A3B3C3D3(1),2ws3,1,808.95,AB,(FAD_binding_2)_(Succ_DH_flav_C);(Fer2_3)_(Fer4_17),1,1,1,A3B3C3D3,ABCD,1,A3B3C3D3,1,SDHA_ECOLI;SDHB_ECOLI,,,,,,,,,,,SUCCINATE DEHYDROGENASE FLAVOPROTEIN SUBUNIT;SUCCINATE DEHYDROGENASE IRON-SULFUR SUBUNIT,ESCHERICHIA COLI;ESCHERICHIA COLI,A,B
IF10331,(FAD_binding_2)(Fer2_3),7585,1,3,P 21 21 21,A3B3C3D3(2),2wu2,1,818.8,AB,(FAD_binding_2)_(Succ_DH_flav_C);(Fer2_3)_(Fer4_17),1,1,1,A3B3C3D3,ABCD,1,A3B3C3D3,1,SDHA_ECOLI;SDHB_ECOLI,,,,,,,,,,,SUCCINATE DEHYDROGENASE FLAVOPROTEIN SUBUNIT;SUCCINATE DEHYDROGENASE IRON-SULFUR SUBUNIT,ESCHERICHIA COLI;ESCHERICHIA COLI,A,B
IF10332,(FAD_binding_2)(Fer2_3),7585,1,3,P 21 21 21,A3B3C3D3(2),2wu5,1,809.95,AB,(FAD_binding_2)_(Succ_DH_flav_C);(Fer2_3)_(Fer4_17),1,1,1,A3B3C3D3,ABCD,1,A3B3C3D3,1,SDHA_ECOLI;SDHB_ECOLI,,,,,,,,,,,SUCCINATE DEHYDROGENASE FLAVOPROTEIN SUBUNIT;SUCCINATE DEHYDROGENASE IRON-SULFUR SUBUNIT,ESCHERICHIA COLI;ESCHERICHIA COLI,A,B
IF10308,(FAD_binding_2)(Fer2_3),7585,1,2,P 21 21 21,ABCD(2),3abv,2,867.8,AB,(FAD_binding_2)_(Succ_DH_flav_C);(Fer2_3)_(Fer4_17),1,1,1,ABCD,ABCD,1,ABCD,1,SDHA_PIG;SDHB_PIG,,,,,,,,,,,"FLAVOPROTEIN SUBUNIT OF COMPLEX II, FP;IRON-SULFUR SUBUNIT OF COMPLEX II, IP",Sus scrofa;Sus scrofa,A,B
IF10390,(FAD_binding_2)(Fer2_3),7585,1,8,P 21 21 21,ABCD(3),3ae1,2,873.3,AB,(FAD_binding_2)_(Succ_DH_flav_C);(Fer2_3)_(Fer4_17),1,1,1,ABCD,ABCD,1,ABCD,1,SDHA_PIG;SDHB_PIG,,,,,,,,,,,"FLAVOPROTEIN SUBUNIT OF COMPLEX II, FP;IRON-SULFUR SUBUNIT OF COMPLEX II, IP",Sus scrofa;Sus scrofa,A,B
IF10309,(FAD_binding_2)(Fer2_3),7585,1,2,P 21 21 21,ABCD(2),3ae2,2,875.2,AB,(FAD_binding_2)_(Succ_DH_flav_C);(Fer2_3)_(Fer4_17),1,1,1,ABCD,ABCD,1,ABCD,1,SDHA_PIG;SDHB_PIG,,,,,,,,,,,"FLAVOPROTEIN SUBUNIT OF COMPLEX II, FP;IRON-SULFUR SUBUNIT OF COMPLEX II, IP",Sus scrofa;Sus scrofa,A,B
IF10391,(FAD_binding_2)(Fer2_3),7585,1,8,P 21 21 21,ABCD(3),3ae3,3,888.3,AB,(FAD_binding_2)_(Succ_DH_flav_C);(Fer2_3)_(Fer4_17),1,1,1,ABCD,ABCD,1,ABCD,1,SDHA_PIG;SDHB_PIG,,,,,,,,,,,"FLAVOPROTEIN SUBUNIT OF COMPLEX II, FP;IRON-SULFUR SUBUNIT OF COMPLEX II, IP",Sus scrofa;Sus scrofa,A,B
IF10392,(FAD_binding_2)(Fer2_3),7585,1,8,P 21 21 21,ABCD(3),3ae4,3,879.8,AB,(FAD_binding_2)_(Succ_DH_flav_C);(Fer2_3)_(Fer4_17),1,1,1,ABCD,ABCD,1,ABCD,1,SDHA_PIG;SDHB_PIG,,,,,,,,,,,"FLAVOPROTEIN SUBUNIT OF COMPLEX II, FP;IRON-SULFUR SUBUNIT OF COMPLEX II, IP",Sus scrofa;Sus scrofa,A,B
IF10393,(FAD_binding_2)(Fer2_3),7585,1,8,P 21 21 21,ABCD(3),3ae5,3,915.5,AB,(FAD_binding_2)_(Succ_DH_flav_C);(Fer2_3)_(Fer4_17),1,1,1,ABCD,ABCD,1,ABCD,1,SDHA_PIG;SDHB_PIG,,,,,,,,,,,"FLAVOPROTEIN SUBUNIT OF COMPLEX II, FP;IRON-SULFUR SUBUNIT OF COMPLEX II, IP",Sus scrofa;Sus scrofa,A,B
IF10394,(FAD_binding_2)(Fer2_3),7585,1,8,P 21 21 21,ABCD(3),3ae6,2,886.95,AB,(FAD_binding_2)_(Succ_DH_flav_C);(Fer2_3)_(Fer4_17),1,1,1,ABCD,ABCD,1,ABCD,1,SDHA_PIG;SDHB_PIG,,,,,,,,,,,"FLAVOPROTEIN SUBUNIT OF COMPLEX II, FP;IRON-SULFUR SUBUNIT OF COMPLEX II, IP",Sus scrofa;Sus scrofa,A,B
IF10395,(FAD_binding_2)(Fer2_3),7585,1,8,P 21 21 21,ABCD(3),3ae7,2,925,AB,(FAD_binding_2)_(Succ_DH_flav_C);(Fer2_3)_(Fer4_17),1,1,1,ABCD,ABCD,1,ABCD,1,SDHA_PIG;SDHB_PIG,,,,,,,,,,,"FLAVOPROTEIN SUBUNIT OF COMPLEX II, FP;IRON-SULFUR SUBUNIT OF COMPLEX II, IP",Sus scrofa;Sus scrofa,A,B
IF10310,(FAD_binding_2)(Fer2_3),7585,1,2,P 21 21 21,ABCD(2),3ae8,2,926.95,AB,(FAD_binding_2)_(Succ_DH_flav_C);(Fer2_3)_(Fer4_17),1,1,1,ABCD,ABCD,1,ABCD,1,SDHA_PIG;SDHB_PIG,,,,,,,,,,,"FLAVOPROTEIN SUBUNIT OF COMPLEX II, FP;IRON-SULFUR SUBUNIT OF COMPLEX II, IP",Sus scrofa;Sus scrofa,A,B
IF10311,(FAD_binding_2)(Fer2_3),7585,1,2,P 21 21 21,ABCD(2),3ae9,2,898.55,AB,(FAD_binding_2)_(Succ_DH_flav_C);(Fer2_3)_(Fer4_17),1,1,1,ABCD,ABCD,1,ABCD,1,SDHA_PIG;SDHB_PIG,,,,,,,,,,,"FLAVOPROTEIN SUBUNIT OF COMPLEX II, FP;IRON-SULFUR SUBUNIT OF COMPLEX II, IP",Sus scrofa;Sus scrofa,A,B
IF10396,(FAD_binding_2)(Fer2_3),7585,1,8,P 21 21 21,ABCD(3),3aea,3,948.45,AB,(FAD_binding_2)_(Succ_DH_flav_C);(Fer2_3)_(Fer4_17),1,1,1,ABCD,ABCD,1,ABCD,1,SDHA_PIG;SDHB_PIG,,,,,,,,,,,"FLAVOPROTEIN SUBUNIT OF COMPLEX II, FP;IRON-SULFUR SUBUNIT OF COMPLEX II, IP",Sus scrofa;Sus scrofa,A,B
IF10312,(FAD_binding_2)(Fer2_3),7585,1,2,P 21 21 21,ABCD(2),3aeb,3,889.85,AB,(FAD_binding_2)_(Succ_DH_flav_C);(Fer2_3)_(Fer4_17),1,1,1,ABCD,ABCD,1,ABCD,1,SDHA_PIG;SDHB_PIG,,,,,,,,,,,"FLAVOPROTEIN SUBUNIT OF COMPLEX II, FP;IRON-SULFUR SUBUNIT OF COMPLEX II, IP",Sus scrofa;Sus scrofa,A,B
IF10398,(FAD_binding_2)(Fer2_3),7585,1,8,P 21 21 21,ABCD(3),3aec,3,919.5,AB,(FAD_binding_2)_(Succ_DH_flav_C);(Fer2_3)_(Fer4_17),1,1,1,ABCD,ABCD,1,ABCD,1,SDHA_PIG;SDHB_PIG,,,,,,,,,,,"FLAVOPROTEIN SUBUNIT OF COMPLEX II, FP;IRON-SULFUR SUBUNIT OF COMPLEX II, IP",Sus scrofa;Sus scrofa,A,B
IF10397,(FAD_binding_2)(Fer2_3),7585,1,8,P 21 21 21,ABCD(3),3aed,2,912.5,AB,(FAD_binding_2)_(Succ_DH_flav_C);(Fer2_3)_(Fer4_17),1,1,1,ABCD,ABCD,1,ABCD,1,SDHA_PIG;SDHB_PIG,,,,,,,,,,,"FLAVOPROTEIN SUBUNIT OF COMPLEX II, FP;IRON-SULFUR SUBUNIT OF COMPLEX II, IP",Sus scrofa;Sus scrofa,A,B
IF10386,(FAD_binding_2)(Fer2_3),7585,1,2,P 21 21 21,ABCD(4),3aee,2,864.55,AB,(FAD_binding_2)_(Succ_DH_flav_C);(Fer2_3)_(Fer4_17),1,1,1,ABCD,ABCD,1,ABCD,1,SDHA_PIG;SDHB_PIG,,,,,,,,,,,"FLAVOPROTEIN SUBUNIT OF COMPLEX II, FP;IRON-SULFUR SUBUNIT OF COMPLEX II, IP",Sus scrofa;Sus scrofa,A,B
IF10389,(FAD_binding_2)(Fer2_3),7585,1,8,P 21 21 21,ABCD(3),3aef,1,872.4,AB,(FAD_binding_2)_(Succ_DH_flav_C);(Fer2_3)_(Fer4_17),1,1,1,ABCD,ABCD,1,ABCD,1,SDHA_PIG;SDHB_PIG,,,,,,,,,,,"FLAVOPROTEIN SUBUNIT OF COMPLEX II, FP;IRON-SULFUR SUBUNIT OF COMPLEX II, IP",Sus scrofa;Sus scrofa,A,B
IF10313,(FAD_binding_2)(Fer2_3),7585,1,2,P 21 21 21,ABCD(2),3aeg,2,891.95,AB,(FAD_binding_2)_(Succ_DH_flav_C);(Fer2_3)_(Fer4_17),1,1,1,ABCD,ABCD,1,ABCD,1,SDHA_PIG;SDHB_PIG,,,,,,,,,,,"FLAVOPROTEIN SUBUNIT OF COMPLEX II, FP;IRON-SULFUR SUBUNIT OF COMPLEX II, IP",Sus scrofa;Sus scrofa,A,B
IF10325,(FAD_binding_2)(Fer2_3),7585,1,9,P 21 21 21,A2B2C2D2(6),3cir,1,1048.2,AB,(FAD_binding_2)_(Succ_DH_flav_C);(Fer2_3)_(Fer4_8),1,1,1,A2B2C2D2,ABCD,1,ABCD,1,FRDA_ECOLI;FRDB_ECOLI,,,,,,,,,,,Fumarate reductase flavoprotein subunit;Fumarate reductase iron-sulfur subunit,Escherichia coli;Escherichia coli,A,B
IF10344,(FAD_binding_2)(Fer2_3),7585,1,9,P 21 21 21,A2B2C2D2(2),3p4p,3,1015.8,AB,(FAD_binding_2)_(Succ_DH_flav_C);(Fer2_3)_(Fer4_8),1,1,1,A2B2C2D2,ABCD,1,ABCD,1,FRDA_ECOLI;FRDB_ECOLI,,,,,,,,,,,Fumarate reductase flavoprotein subunit;Fumarate reductase iron-sulfur protein,Escherichia coli 042;Escherichia coli 536,A,B
IF10346,(FAD_binding_2)(Fer2_3),7585,1,9,P 21 21 21,A2B2C2D2(2),3p4q,2,1015.45,AB,(FAD_binding_2)_(Succ_DH_flav_C);(Fer2_3)_(Fer4_8),1,1,1,A2B2C2D2,ABCD,1,ABCD,1,FRDA_ECOLI;FRDB_ECOLI,,,,,,,,,,,Fumarate reductase flavoprotein subunit;Fumarate reductase iron-sulfur protein,Escherichia coli 042;Escherichia coli 536,A,B
IF10350,(FAD_binding_2)(Fer2_3),7585,1,9,P 21 21 21,A2B2C2D2(2),3p4r,2,1020.65,AB,(FAD_binding_2)_(Succ_DH_flav_C);(Fer2_3)_(Fer4_8),1,1,1,A2B2C2D2,ABCD,1,ABCD,1,FRDA_ECOLI;FRDB_ECOLI,,,,,,,,,,,Fumarate reductase flavoprotein subunit;Fumarate reductase iron-sulfur subunit,Escherichia coli 042;Escherichia coli 042,A,B
IF10366,(FAD_binding_2)(Fer2_3),7585,1,9,P 21 21 21,A2B2C2D2(1),3p4s,2,975.25,AB,(FAD_binding_2)_(Succ_DH_flav_C);(Fer2_3)_(Fer4_8),1,1,1,A2B2C2D2,ABCD,1,ABCD,1,FRDA_ECOLI;FRDB_ECOLI,,,,,,,,,,,Fumarate reductase flavoprotein subunit;Fumarate reductase iron-sulfur subunit,Escherichia coli 042;Escherichia coli 042,A,B
IF10387,(FAD_binding_2)(Fer2_3),7585,1,2,P 21 21 21,ABCD(4),3sfd,3,844.55,AB,(FAD_binding_2)_(Succ_DH_flav_C);(Fer2_3)_(Fer4_17),1,1,1,ABCD,ABCD,1,ABCD,1,SDHA_PIG;SDHB_PIG,,,,,,,,,,,"FLAVOPROTEIN SUBUNIT OF COMPLEX II, FP;IRON-SULF PROTEIN, IRON-SULFUR SUBUNIT OF COMPLEX II, IP",Sus scrofa;Sus scrofa,A,B
IF10388,(FAD_binding_2)(Fer2_3),7585,1,2,P 21 21 21,ABCD(4),3sfe,3,859.05,AB,(FAD_binding_2)_(Succ_DH_flav_C);(Fer2_3)_(Fer4_17),1,1,1,ABCD,ABCD,1,ABCD,1,SDHA_PIG;SDHB_PIG,,,,,,,,,,,"FLAVOPROTEIN SUBUNIT OF COMPLEX II, FP;IRON-SULF PROTEIN, IRON-SULFUR SUBUNIT OF COMPLEX II, IP",Sus scrofa;Sus scrofa,A,B
IF10358,(FAD_binding_2)(Fer2_3),7585,1,1,P 21 21 21,A2B2C2D2(1),3vr8,1,919.45,AB,(FAD_binding_2)_(Succ_DH_flav_C);(Fer2_3)_(Fer4_17),1,1,1,A2B2C2D2,ABCD,1,A2B2C2D2,1,Q33862_ASCSU;O44074_ASCSU,,,,,,,,,,,RHODOQUINOL-FUMARATE REDUCTASE FP SUBUNIT;RHODOQUINOL-FUMARATE REDUCTASE IP SUBUNIT,Ascaris suum;Ascaris suum,A,B
IF10433,(FAD_binding_2)(Fer2_3),7585,2,1,P 21 21 21,A2B2C2D2(1),3vr8,25,121.05,AB,(FAD_binding_2)_(Succ_DH_flav_C);(Fer2_3)_(Fer4_17),0,0,0,A2B2C2D2,ABCD,1,A2B2C2D2,1,Q33862_ASCSU;O44074_ASCSU,,,,,,,,,,,RHODOQUINOL-FUMARATE REDUCTASE FP SUBUNIT;RHODOQUINOL-FUMARATE REDUCTASE IP SUBUNIT,Ascaris suum;Ascaris suum,A,F
IF10447,(FAD_binding_2)(Fer2_3),7585,3,1,P 21 21 21,A2B2C2D2(1),3vr8,22,248.7,AB,(FAD_binding_2)_(Succ_DH_flav_C);(Fer2_3)_(Fer4_17),0,0,0,A2B2C2D2,ABCD,1,A2B2C2D2,1,Q33862_ASCSU;O44074_ASCSU,,,,,,,,,,,RHODOQUINOL-FUMARATE REDUCTASE FP SUBUNIT;RHODOQUINOL-FUMARATE REDUCTASE IP SUBUNIT,Ascaris suum;Ascaris suum,E,B
IF10364,(FAD_binding_2)(Fer2_3),7585,1,1,P 21 21 21,A2B2C2D2(4),3vr9,1,931.1,AB,(FAD_binding_2)_(Succ_DH_flav_C);(Fer2_3)_(Fer4_17),1,1,1,A2B2C2D2,ABCD,1,A2B2C2D2,1,Q33862_ASCSU;O44074_ASCSU,,,,,,,,,,,RHODOQUINOL-FUMARATE REDUCTASE FP SUBUNIT;RHODOQUINOL-FUMARATE REDUCTASE IP SUBUNIT,Ascaris suum;Ascaris suum,A,B
IF10437,(FAD_binding_2)(Fer2_3),7585,2,1,P 21 21 21,A2B2C2D2(4),3vr9,24,111.55,AB,(FAD_binding_2)_(Succ_DH_flav_C);(Fer2_3)_(Fer4_17),0,0,0,A2B2C2D2,ABCD,1,A2B2C2D2,1,Q33862_ASCSU;O44074_ASCSU,,,,,,,,,,,RHODOQUINOL-FUMARATE REDUCTASE FP SUBUNIT;RHODOQUINOL-FUMARATE REDUCTASE IP SUBUNIT,Ascaris suum;Ascaris suum,E,B
IF10450,(FAD_binding_2)(Fer2_3),7585,3,1,P 21 21 21,A2B2C2D2(4),3vr9,20,231.85,AB,(FAD_binding_2)_(Succ_DH_flav_C);(Fer2_3)_(Fer4_17),0,0,0,A2B2C2D2,ABCD,1,A2B2C2D2,1,Q33862_ASCSU;O44074_ASCSU,,,,,,,,,,,RHODOQUINOL-FUMARATE REDUCTASE FP SUBUNIT;RHODOQUINOL-FUMARATE REDUCTASE IP SUBUNIT,Ascaris suum;Ascaris suum,A,F
IF10362,(FAD_binding_2)(Fer2_3),7585,1,1,P 21 21 21,A2B2C2D2(3),3vra,1,955.85,AB,(FAD_binding_2)_(Succ_DH_flav_C);(Fer2_3)_(Fer4_17),1,1,1,A2B2C2D2,ABCD,1,A2B2C2D2,1,Q33862_ASCSU;O44074_ASCSU,,,,,,,,,,,RHODOQUINOL-FUMARATE REDUCTASE FP SUBUNIT;RHODOQUINOL-FUMARATE REDUCTASE IP SUBUNIT,Ascaris suum;Ascaris suum,A,B
IF10434,(FAD_binding_2)(Fer2_3),7585,2,1,P 21 21 21,A2B2C2D2(3),3vra,25,142.9,AB,(FAD_binding_2)_(Succ_DH_flav_C);(Fer2_3)_(Fer4_17),0,0,0,A2B2C2D2,ABCD,1,A2B2C2D2,1,Q33862_ASCSU;O44074_ASCSU,,,,,,,,,,,RHODOQUINOL-FUMARATE REDUCTASE FP SUBUNIT;RHODOQUINOL-FUMARATE REDUCTASE IP SUBUNIT,Ascaris suum;Ascaris suum,A,F
IF10449,(FAD_binding_2)(Fer2_3),7585,3,1,P 21 21 21,A2B2C2D2(3),3vra,22,272.1,AB,(FAD_binding_2)_(Succ_DH_flav_C);(Fer2_3)_(Fer4_17),0,0,0,A2B2C2D2,ABCD,1,A2B2C2D2,1,Q33862_ASCSU;O44074_ASCSU,,,,,,,,,,,RHODOQUINOL-FUMARATE REDUCTASE FP SUBUNIT;RHODOQUINOL-FUMARATE REDUCTASE IP SUBUNIT,Ascaris suum;Ascaris suum,E,B
IF10360,(FAD_binding_2)(Fer2_3),7585,1,1,P 21 21 21,A2B2C2D2(2),3vrb,1,884.45,AB,(FAD_binding_2)_(Succ_DH_flav_C);(Fer2_3)_(Fer4_17),1,1,1,A2B2C2D2,ABCD,1,A2B2C2D2,1,Q33862_ASCSU;O44074_ASCSU,,,,,,,,,,,RHODOQUINOL-FUMARATE REDUCTASE FP SUBUNIT;RHODOQUINOL-FUMARATE REDUCTASE IP SUBUNIT,Ascaris suum;Ascaris suum,A,B
IF10436,(FAD_binding_2)(Fer2_3),7585,2,1,P 21 21 21,A2B2C2D2(2),3vrb,25,126.95,AB,(FAD_binding_2)_(Succ_DH_flav_C);(Fer2_3)_(Fer4_17),0,0,0,A2B2C2D2,ABCD,1,A2B2C2D2,1,Q33862_ASCSU;O44074_ASCSU,,,,,,,,,,,RHODOQUINOL-FUMARATE REDUCTASE FP SUBUNIT;RHODOQUINOL-FUMARATE REDUCTASE IP SUBUNIT,Ascaris suum;Ascaris suum,A,F
IF10448,(FAD_binding_2)(Fer2_3),7585,3,1,P 21 21 21,A2B2C2D2(2),3vrb,12,262.7,AB,(FAD_binding_2)_(Succ_DH_flav_C);(Fer2_3)_(Fer4_17),0,0,0,A2B2C2D2,ABCD,1,A2B2C2D2,1,Q33862_ASCSU;O44074_ASCSU,,,,,,,,,,,RHODOQUINOL-FUMARATE REDUCTASE FP SUBUNIT;RHODOQUINOL-FUMARATE REDUCTASE IP SUBUNIT,Ascaris suum;Ascaris suum,E,B
IF10348,(FAD_binding_2)(Fer2_3),7585,1,9,P 21 21 21,A2B2C2D2(2),4kx6,2,1028,AB,(FAD_binding_2)_(Succ_DH_flav_C);(Fer2_3)_(Fer4_8),1,1,1,A2B2C2D2,ABCD,1,ABCD,1,FRDA_ECOLI;C5A1E7_ECOBW,,,,,,,,,,,"Fumarate reductase flavoprotein subunit;Fumarate reductase (Anaerobic), Fe-S subunit",Escherichia coli;Escherichia coli,A,B
